기준연도,시도코드,시도명,대학구분명,대학교명,본분교구분명,설립형태구분명,평균입학금액,평균등록금액,데이터기준일자,제공기관코드,제공기관명
2023,27,대구광역시,전문대학,영남이공대학교,본교,사립,0,6231339.3,2023-10-31,B552529,한국장학재단
2023,46,전라남도,전문대학,목포과학대학교,본교,사립,0,5741668.6,2023-10-31,B552529,한국장학재단
2023,27,대구광역시,전문대학,영진전문대학교,본교,사립,0,6207720.4,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,오산대학교,본교,사립,0,6743620.2,2023-10-31,B552529,한국장학재단
2023,46,전라남도,전문대학,전남과학대학교,본교,사립,0,5180677.6,2023-10-31,B552529,한국장학재단
2023,47,경상북도,전문대학,구미대학교,본교,사립,0,5871704.6,2023-10-31,B552529,한국장학재단
2023,31,울산광역시,전문대학,울산과학대학교,본교,사립,0,6140342.9,2023-10-31,B552529,한국장학재단
2023,26,부산광역시,전문대학,부산예술대학교,본교,사립,0,6168138.9,2023-10-31,B552529,한국장학재단
2023,45,전라북도,전문대학,원광보건대학교,본교,사립,0,6218430.6,2023-10-31,B552529,한국장학재단
2023,47,경상북도,전문대학,서라벌대학교,본교,사립,0,5889400,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,유한대학교,본교,사립,0,6067838.9,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,전문대학,서울여자간호대학교,본교,사립,0,6410350,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,전문대학,인덕대학교,본교,사립,0,6756416.5,2023-10-31,B552529,한국장학재단
2023,36,세종특별자치시,전문대학,한국영상대학교,본교,사립,0,6250724.8,2023-10-31,B552529,한국장학재단
2023,28,인천광역시,전문대학,인하공업전문대학,본교,사립,0,6764946.6,2023-10-31,B552529,한국장학재단
2023,51,강원특별자치도,전문대학,한림성심대학교,본교,사립,0,5741602.6,2023-10-31,B552529,한국장학재단
2023,47,경상북도,전문대학,안동과학대학교,본교,사립,0,5847904.7,2023-10-31,B552529,한국장학재단
2023,29,광주광역시,전문대학,광주보건대학교,본교,사립,0,5183649.9,2023-10-31,B552529,한국장학재단
2023,45,전라북도,전문대학,전주기전대학,본교,사립,0,6300683.7,2023-10-31,B552529,한국장학재단
2023,45,전라북도,전문대학,전북과학대학교,본교,사립,0,5422772.7,2023-10-31,B552529,한국장학재단
2023,50,제주특별자치도,전문대학,제주관광대학교,본교,사립,0,4908231.9,2023-10-31,B552529,한국장학재단
2023,29,광주광역시,전문대학,조선간호대학교,본교,사립,0,5309437.5,2023-10-31,B552529,한국장학재단
2023,29,광주광역시,전문대학,조선이공대학교,본교,사립,0,5604514.9,2023-10-31,B552529,한국장학재단
2023,43,충청북도,전문대학,충북보건과학대학교,본교,사립,0,6190483.1,2023-10-31,B552529,한국장학재단
2023,47,경상북도,전문대학,대경대학교,본교,사립,0,6259436.2,2023-10-31,B552529,한국장학재단
2023,26,부산광역시,전문대학,부산과학기술대학교,본교,사립,0,6080328,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,신안산대학교,본교,사립,0,6649736.1,2023-10-31,B552529,한국장학재단
2023,30,대전광역시,전문대학,대덕대학교,본교,사립,0,5767082,2023-10-31,B552529,한국장학재단
2023,41,경기도,대학,예원예술대학교,제2캠퍼,사립,0,8501639.3,2023-10-31,B552529,한국장학재단
2023,41,경기도,대학,을지대학교,제2캠퍼,사립,0,8454931.2,2023-10-31,B552529,한국장학재단
2023,45,전라북도,전문대학,군장대학교,본교,사립,0,5813980.1,2023-10-31,B552529,한국장학재단
2023,47,경상북도,전문대학,문경대학교,본교,사립,0,5899099.7,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,농협대학교,본교,사립,0,4982666.7,2023-10-31,B552529,한국장학재단
2023,27,대구광역시,전문대학,대구공업대학교,본교,사립,0,5831269.4,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,대림대학교,본교,사립,0,6740120.8,2023-10-31,B552529,한국장학재단
2023,48,경상남도,전문대학,거제대학교,본교,사립,0,6212299.1,2023-10-31,B552529,한국장학재단
2023,44,충청남도,전문대학,아주자동차대학교,본교,사립,0,6651695.9,2023-10-31,B552529,한국장학재단
2023,28,인천광역시,전문대학,인천재능대학교,본교,사립,0,6420629.6,2023-10-31,B552529,한국장학재단
2023,47,경상북도,전문대학,경북과학대학교,본교,사립,0,5750261,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,동남보건대학교,본교,사립,0,6540901.4,2023-10-31,B552529,한국장학재단
2023,26,부산광역시,전문대학,경남정보대학교,본교,사립,0,6184280.4,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,경복대학교,본교,사립,0,6417119.8,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,여주대학교,본교,사립,0,6998739,2023-10-31,B552529,한국장학재단
2023,30,대전광역시,전문대학,우송정보대학,본교,사립,0,6045607.5,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,전문대학,동양미래대학교,본교,사립,0,6672431.9,2023-10-31,B552529,한국장학재단
2023,48,경상남도,전문대학,동원과학기술대학교,본교,사립,0,5777479,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,동원대학교,본교,사립,0,6871817,2023-10-31,B552529,한국장학재단
2023,26,부산광역시,전문대학,동의과학대학교,본교,사립,0,6309080.8,2023-10-31,B552529,한국장학재단
2023,47,경상북도,전문대학,포항대학교,본교,사립,0,6141852.4,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,두원공과대학교,본교,사립,0,6480432.9,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,전문대학,명지전문대학,본교,사립,0,6580479.7,2023-10-31,B552529,한국장학재단
2023,48,경상남도,전문대학,창원문성대학교,본교,사립,0,5853323.9,2023-10-31,B552529,한국장학재단
2023,48,경상남도,전문대학,마산대학교,본교,사립,0,5885696,2023-10-31,B552529,한국장학재단
2023,43,충청북도,전문대학,대원대학교,본교,사립,0,5967533.2,2023-10-31,B552529,한국장학재단
2023,27,대구광역시,전문대학,대구보건대학교,본교,사립,0,6228971.8,2023-10-31,B552529,한국장학재단
